name, description, price
HUGO,armrest,850.19
HUGO,bar stool with backrest,482.9
HUGO,chair,90.17
HUGO,stool,323.92
HULDA VILSE,rug,755.95
HULINGEN,pedal bin,99.23
HULTET,dish,456.94
HULTÖ,easy chair,709.01
HURRIG,mug,410.03
HUSÅ,work lamp,20.26
HUSNES,mirror,297.46
HUSÖN,plant pot,367.45
HUSVIK,series,395.08
HUTTEN,9-bottle wine rack,800.75
HYLLIS,shelving unit,757
IDEAL,candle dish,114.64
IDEALISK,series,683.2
IDELIG,mixing bowl,31.07
IDGRUND,3-piece bathroom set,456.18
IKEA 365+,18-piece dinnerware set,697.85
IKEA 365+,,246.17
IKEA 365+ DRÖM,egg cup,614.38
IKEA 365+ DRÖM,mug,20.62
IKEA 365+ DRÖM,side plate,302.75
IKEA 365+ GNISTRA,chef's knife,445.12
IKEA 365+ LUNTA,pendant lamp,535.47
IKEA 365+ SÄNDA,3 way connector,862.03
IKEA 365+ SÄNDA,4 way connector,656.74
IKEA 365+ SÄNDA,track with 2 spotlights,642.58
IKEA 365+ SÄNDA,track with 3 spotlights,434.67
IKEA 365+ SÄNDA/IKEA 365+ BRASA,pendant lamp with track,382.03
IKEA 365+ SÄNDA/SKIMRA,pendant lamp with track,609.15
IKEA 365+,bed series,943.84
IKEA 365+,bowl,857.92
IKEA 365+,can opener,596.4
IKEA 365+,coffee cup and saucer,756.63
IKEA 365+,cookware series,109.21
IKEA 365+,dinnerware series,603.47
IKEA 365+,espresso cup and saucer,860.44
IKEA 365+,food storage series,633.4
IKEA 365+,garlic press,299.89
IKEA 365+,glassware,403.13
IKEA 365+,knife series,918.95
IKEA 365+,lighting,492.47
IKEA 365+,mug,230.68
IKEA 365+,plate,386.95
IKEA 365+,potato peeler,681.39
IKEA 365+,serving series,4.5
IKEA 365+,sugar bowl,66.07
IKEA 365+,teacup and saucer,970.07
IKEA 365+,teaspoon,243.04
IKEA PS BATIK,textiles,568.43
IKEA PS BINTJE,storage crate,345.96
IKEA PS BJUDA,carafe,79.55
IKEA PS BRUNN,vase,167.99
IKEA PS FÅNGST,hanging storage/6 compartments,466.51
IKEA PS FEJÖ,self-watering plant pot,849.52
IKEA PS GULLHOLMEN,rocking chair,473.07
IKEA PS HÅVET,mattress,945.84
IKEA PS JONSBERG,vase,887.28
IKEA PS KARLJOHAN,side table,27.48
IKEA PS KROG,plate,403.47
IKEA PS LÖMSK,swivel chair,923.94
IKEA PS LÖVÅS,mattress,565.74
IKEA PS MURBO,mattress,306.47
IKEA PS PLANK,room divider,499.74
IKEA PS SPRAKA,spice mill,337.42
IKEA PS STAM,mirror,954.16
IKEA PS STICKA,bedspread/blanket,9.44
IKEA PS STOCK,vase,138.6
IKEA PS STOFF,throw,34.99
IKEA PS STUGA,rug,513.74
IKEA PS SVINGA,hanging seat,542.98
IKEA PS TOTT,textiles,972.29
IKEA PS VÅLLÖ,watering can,275.64
IKEA PS VIRKA,textiles,47.08
IKEA PS,cabinet,691.25
IKEA PS,cabinet on casters,149.27
IKEA PS,clock,191.65
IKEA PS,collection,813.89
IKEA PS,laptop workstation,949.93
IKEA PS,organizer,947.34
IKEA PS,pendant lamp,909.31
IKEA PS,sofabed slipcover,350.93
IKEA PS,tealight holder,152.52
IKEA STOCKHOLM TRIANGEL,rug,239.37
IKEA STOCKHOLM TV,unit,514.54
IKEA STOCKHOLM,cabinet lighting,554.72
IKEA STOCKHOLM,collection,144.67
IKEA STOCKHOLM,footstool,124.11
IKEA STOCKHOLM,footstool cover,822.24
IKEA STOCKHOLM,sofa,72.53
IMPULS,pitcher with lid,64.92
INBYN,chest,953.18
INDIRA,bedspread,995.05
INDO GABBEH,rug,609.81
INFO,scale,953.53
INGEMAR,bar stool with backrest,0.19
INGO,dining table,2.78
INGOLF,bar stool with backrest,40.81
INGOLF,chair,599.19
INGOLF,chair pad,797.6
INGOLF,chair with armrests,710.75
INGOLF,chair with chair pad,435.58
INGOLF,junior chair,395.4
INGOLF,kitchen bench,805.45
INGOLF,stool,826.01
INNER,inner cushion,127.88
INREDA,cabinet lighting,877.59
INREDA,lighting strip,885.2
INSATS,measuring cups,996.94
IRIS,series,637.56
IRJA,curtain rod set,360.96
IRMA,cushion,299.79
IRMA,throw,401.66
ISDANS,roller blind,897.36
ISKORN,2-piece salad server set,175.48
ISTAD,plastic bag,576.48
IVAR,chair,464.16
IVAR,shelving unit,815.02
IVAR,system,966.52
IVETOFTA,lantern,190.92
JÄLL,laundry bag with stand,803.18
JÄMKA,food saver,792.68
JÄMKA,jar with lid,638.51
JÄMKA,series,374.91
JANNE,swivel chair,504.61
JANSJÖ,series,408.93
JANSJÖ,work lamp,4.11
JANUARI,cord set with diffuser,60.34
JANUARI,floor lamp base,885.94
JANUARI,table lamp base,7.8
JAREN,spring mattress,114.52
JÄTTEBRA,plant pot,681.43
JÄTTEFIN,plant pot,5.09
JAVNAKER,mattress set,74.73
JEFF,folding chair,97.22
JIGGA,handle,427.43
JOAKIM,swivel chair,275.73
JOHAN,desk with shelf unit,48.4
JÖKEL,floor uplight/reading lamp,710.63
JOKER,candle dish,433.81
JONAS,series,369.41
JONDAL,mirror,423.85
JONISK,floor/table lamp,223.17
JONSBO ÅSARP,table lamp,276.69
JONSBO ÅSARP,table lamp base,62.49
JONSBO BÄRBY,table lamp,917.5
JONSBO BÄRBY,table lamp base,471.18
JONSBO EGBY,table lamp,918.09
JONSBO GRYBY,table lamp,479.84
JONSBO GRYBY,table lamp base,45.24
JONSBO ILSBO,table lamp,664.23
JONSBO ORÖD,table lamp,752.55
JONSBO ORÖD,table lamp base,49.3
JONSBO,shade,723.84
JORUN FRÖ,duvet cover and pillowcase(s),627.77
JORUN,collection,217.22
JUBLA,pillar candle,189.33
JUBLA,series,779.83
JULES,junior desk chair,449.84
JULES,swivel chair,604.77
JULES,visitor chair,879.53
JULIUS,bar stool,913.69
JUSTINA,chair pad,415.24
KAJSA BLAD,duvet cover and pillowcase(s),96.75
KAJSA ROSOR,duvet cover and pillowcase(s),420.53
KAJSA STEN,duvet cover and pillowcase(s),174.42
KAJSA TRÄD,duvet cover and pillowcase(s),560.92
KAJSA,collection,235.7
KAJSA,small storage series,460.66
KAJSASTINA,fabric,763.63
KALAS,18-piece cutlery set,211.99
KALAS,bowl,112.54
KALAS,plate,652.36
KALAS,tumbler,578.27
KALASET,espresso cup and saucer,490.44
KALLT,5-arm candelabra,200.88
KALLT,7-arm candelabra,949.41
KALLT,decoration lighting,939.7
KALLT,garland with lights,797.13
KALLT,hanging decoration,703.85
KALLT,hanging lights/drape 48 snowflakes,334.27
KALLT,light chain 16 snowflakes,907.91
KALLT,light chain 24 spruce trees,330.38
KALLT,light chain 32 bulbs,850.8
KALLT,light chain 48 snowflakes,491.86
KALLT,light chain with 10 stars,221.73
KALLT,light stick,255.54
KALLT,silhouette light,751.96
KALLT,table lamp,40.64
KALLT,wall decoration 40 bulbs,596.69
KAMFER,plant glide,760.89
KANELBULLAR,cinnamon bun,171.76
KANIST,vase,521.86
KAPA,plant pot,662.2
KÅRABODA,lantern for candle in a metal cup,722.74
KARBY,rug,611.62
KARDEMUMMA,bowl,980.1
KARDEMUMMA,plant pot,390.31
KARDEMUMMA,series,730.72
KARENS,vase,728.79
KARIT,bedspread and cushion cover,700.45
KARLSKRONA,chaise lounge,284.35
KARLSTAD,2 chaise lounges + sofa,174.96
KARLSTAD,2 chaise lounges and loveseat,568.84
KARLSTAD,cover-sofabed,351.98
KARLSTAD,cushion,167.94
KARLSTAD,leg,465.77
KARLSTAD,series,838.66
KARLSTAD,series leather,313.61
KARSTEN,swivel chair,604.57
KASSETT,series,876.59
KASSETT,storage rack for writing materials,870.52
KASSETT,wastepaper basket,781.4
KATTRUP,rug,472.89
KATTUDDEN,toiletry bag set of 2,943.2
KAUSTBY,chair,848.52
KAUSTBY,chair pad,458.38
KAVALKAD,frying pan,730.16
KAVALKAD,series,720.56
KETTY RAND,cushion,579.61
KETTY VÄRLD,cushion,510.11
KETTY,pot holder,489.68
KEX BALLERINA,cookies with chocolate,189.72
KEX SINGOALLA,cookies with raspberry jam,785.56
KIBÄK,rug,533.97
KILBY,bookcase,840.01
KIVIK,chaise cover,333.44
KIVIK,cover one-seat section,895.73
KIVIK,loveseat cover,151.54
KIVIK,series,224.98
KIVIK,sofa cover,303.26
KIVSTA,shade,452.61
KLACK,tray,645.44
KLADD PRICKAR,bib,476.66
KLADD RANDIG,bib,998.55
KLADD,baby bib,661.2
KLAPPAR,series,708.06
KLÄPPE,swivel chair,396.08
KLAPPSTA,chair,815.44
KLAVIATUR,wall uplight,972.69
KLAVSTA,shade,281.51
KLEMENS,pair of armrests,133.26
KLEMENS,swivel chair,956.58
KLINGSBO,coffee table,44.97
KLINGSBO,series,660.27
KLINGSBO,side table,694.4
KLINTHULT,chair,195.52
KLIPPAN,loveseat,870.72
KLIPPAN,series,784.33
KLIPPIG,handle,515.91
KLISTRIG,place mat,574.84
KLOBO,loveseat,440.08
KLUBBO,coffee table,461.47
KLUBBO,nesting tables,775.52
KLUDD,noticeboard,386.56
KNÄCKEBRÖD LEKSANDS,rye crispbread,675.66
KNAPPA,pendant lamp,920.37
KNAPPA,series,513.32
KNASTER,decorative stones,536.81
KNATA,box with lid for paper,881.7
KNIPSA,basket,945.55
KNODD,bin with lid,883.03
KNOPPA,fitted sheet,965.08
KNOPPA,flat sheet,169.77
KNÖS,unknown,492.64
KNUBBIG,table lamp,233.18
KNUFF,magazine file,423.66
KNUTSTORP,chaise lounge,220.38
KNYCK,napkin holder,235.72
KÖGE,door mat,460.95
KÖGE,rug,767.89
KOJA,tent,274.53
KOLDBY,cowhide,30.78
KOLJA,mirror,451.92
KOLON,floor protector,635.31
KOMISK,triple cushion cover,327.93
KOMPISAR,bumper pad,814.82
KOMPLEMENT,basket,963.58
KOMPLEMENT,multi-use hanger,147.75
KOMPLEMENT,storage with compartments,169.33
KONCIS,roasting pan,486.18
KONCIS,series,138.33
KONSMO,series,31.02
KONVALJ,bedspread/blanket,455.45
KOPPANG,3 drawer chest,687.14
KOPPLA,6 outlet power bar with switch,88.92
KORALL ANEMON,tent,305.56
KORPO,chair with armrests,486.38
KORREKT,handle,141.27
KORSFJORD,5-piece bathroom set,74.19
KORT,art card,89.29
KOSING,handle,310.99
KOSING,knob,566.1
KOTTEBO,basket,311.75
KRABB,mirror,577.26
KRAFTIG,chopping board,475.61
KRAMA,washcloth,983.14
KRÄMARE,track light with 3 spotlights,434.94
KRÄMARE,triple ceiling spotlight,386
KRÄMARE,wall spotlight,667.44
KRAMFORS,series leather,799.68
KRISTALLER,chandelier,741.29
KRITTER,eries,883.98
KROBY,series,979.02
KROKEN,rail,374.45
KROKEN,series,497.85
KROKVIK,chair hanger,309.67
KRUS,jar with lid,546.72
KRYP,ceiling spotlight with 3 lights,27.21
KRYSSBO,series,399.51
KULLA,series,865.8
KULLA,table lamp,712.1
KULLEN,3 drawer chest,455.4
KULLEN,chest with 2 drawers,686.4
KULLEN,chest with 5 drawers,78.06
KURA,bed tent,146.11
KURA,reversible bed,145.25
KUSINER,series,132.63
KUVERT,place mat,947.33
KVART,series,909.16
KVARTA,alarm clock,348.73
KVARTA,wall clock,120.22
KVARTAL,ceiling fixture,765.12
KVARTAL,corner fixture for triple track,233.86
KVARTAL,corner piece,433.64
KVARTAL,draw rod,366.91
KVARTAL,glide,387.15
KVARTAL,single track rail,684.32
KVARTAL,top and bottom rail,47.52
KVARTAL,triple curtain rail,697.71
KVARTAL,wall hardware,244.12
KVIBY,4-drawer dresser,584.29
KVINTETT,wall uplight,578.83
KVISSEL,door mat,498.66
KVOT,dish drainer,321.57
LACK,series,721.44
LACK,wall shelf unit,592.53
LÄCKÖ,series,699.81
LADDA,battery charger and 6 batteries,274.95
LADDA,rechargeable battery,36.95
LAGAN,countertop,542.51
LAGAN,microwave oven with extractor fan,965.39
LAGAN,range with ceramic cooktop,174.33
LAGAN,single lever kitchen faucet,559.59
LAGAN,single-bowl inset sink,216.17
LÅGIS,mouse pad,173.91
LAGRA,floor/reading lamp,553.43
LAGRA,spotlight,125.73
LAGRA,work lamp,846.02
LAIVA TV,unit,421.68
LAIVA,bookcase,191.31
LAIVA,bridging shelf,808.9
LAIVA,desk,876.66
LÄKT,floor,871.55
LÄKT,molding,796.52
LÄKT,multi-function profile,694.89
LAMPAN,table lamp,202.71
LÄMPLIG,chopping board,976.28
LÄMPLIG,trivet,334.22
LANDET,6-piece vehicle set,907.18
LANDET,8-piece assorted animal set,319.66
LANDET,farmhouse with animals,693.4
LÅNGASJÖ,frame,180.84
LANNI,chair,655.18
LANSA,handle,619.67
LÄRD,20-piece cutlery set,98.3
LÅSBY,rug,443.28
LÄTT,children's table and 2 chairs,508.45
LÄTTSAM,baby bath,465.31
LÄTTSAM,changing table baskets set of 3,831.91
LÄTTSAM,children's potty,214.51
LAVER,chair,149.54
LEDET,floor lamp,195.61
LEDET,table lamp,872.04
LEDING,track light with 3 spotlights,803.72
LEDING,track light with 5 spotlights,800.61
LEENDE,carafe,754.95
LEGITIM,chopping board,84.54
LEGITIM,chopping board,241.25
LEGYM,2-piece salad server set,542.15
LEIRVIK,bed frame,960.11
LEKA,eries,96.8
LEKFULL LAND,rug,421.26
LEKFULL STAD,rug,185.14
LEKMAN,box,718.31
LEKPLATS,play mat,546.58
LEKSVIK,buffet,25.15
LEKSVIK,cabinet,369.26
LEKSVIK,children's room series,421.65
LEKSVIK,desk,190.87
LEKSVIK,dining series,802.44
LEKSVIK,hook,781.81
LEKSVIK,rack with 5 hooks,478.91
LEN STJÄRNA,crib comforter,31.59
LEN,crib comforter,463.81
LEN,crib fitted sheet,809.88
LEN,crib pillow,891.05
LEN,crib pillowcase,82.83
LEN,fitted sheet,216.15
LEN,flat sheet,173.62
LEN,mattress protector,549.17
LENA,fabric,63.18
LENDA,fabric,927.63
LENDA,pair of curtains with tie-backs,619.92
LERAN,pendant lamp,101.97
LERBERG CD/DVD,wall shelf,497.17
LERBERG,series,299.69
LERBERG,shelf unit,400.19
LERDAL,chandelier,875.78
LERSTA,reading/floor lamp,858.63
LEVANGER,mirror,606.82
LIALOTTA,plastic-coated fabric,909.63
LIATORP,coffee table,355.63
LIATORP,series,221.53
LIATORP,sofa table,252.61
LIDAN,basket,708.94
LIDAN,basket,409
LIDAN,basket,5.13
LIDAN,door-mounted storage,75.32
LIDAN,toiletry bag set of 2,105.88
LILL,pair of curtains,554.58
LILLABO,series,142.61
LILLÅNGEN,chest of drawers with 3 drawers,93.87
LILLÅNGEN,end unit,378.24
LILLÅNGEN,glass shelf,553.5
LILLÅNGEN,high cabinet,126.75
LILLÅNGEN,mirror cabinet with 1 door,861
LILLÅNGEN,mirror cabinet with 2 doors,641.62
LILLÅNGEN,series,420.58
LILLÅNGEN,shelf,175.16
LILLESAND,bed frame,571.78
LILLHOLMEN,ceiling/wall lamp,395.15
LILLHOLMEN,mirror,801.78
LILLHOLMEN,series,772.12
LILLHOLMEN,wall lamp,336.64
LIMMAREN,4-piece bathroom set,942.71
LIMMAREN,bottle,841.33
LINDMON,enetian blind,352.82
LINDSDAL,handle,180.27
LINDSDAL,knob,646.81
LINDVED,side table,496.78
LINGO,series,293.96
LINNARP,series,316.06
LINUS,chair,640.54
LISELOTT,roller blind,404.72
LIVFULL,plant pot,942.29
LJUSÅS SALBO,table lamp,835.16
LJUSÅS USTA,table lamp,262.23
LJUSÅS UVÅS,table lamp,850.19
LJUSÅS YSBY,table lamp,482.9
LJUSDAL,wall shelf,90.17
LJUSNAN,box with lid,323.92
LÖBBO,shade,755.95
LOCK,ceiling lamp,99.23
LÖDDER,series,456.94
LOGGA,series,709.01
LÖJA,20-piece cutlery set,410.03
LÖNSBODA,scented candle in glass,20.26
LOSSNEN,replacement brush,297.46
LOTS,mirror,367.45
LÖVA,bed canopy,395.08
LOVIKEN,dual control kitchen faucet,800.75
LUDDE,sheepskin,757
LUDVIG,laptop shelf/charging station,114.64
LUDVIG,laptop workstation,683.2
LUDVIG,router/modem wall cabinet,31.07
LUFTIG HOO,50 S exhaust hood,456.18
LUFTIG HOO,50 S exhaust hood,697.85
LUFTIG HOO,50 S exhaust hood,246.17
LUFTIG,exhaust fan,614.38
LUGN,bowl,20.62
LUGN,plate,302.75
LUMMIG,curtain rod set,445.12
LUMMIG/LINDMON,window solution,535.47
LUNS,writing/magnetic board,862.03
LUPIN,enetian blind,656.74
LUSTIFIK,hat/shoe rack,642.58
LUSY KLOSS,duvet cover and pillowcase(s),434.67
LUSY VÄV,duvet cover and pillowcase(s),382.03
LUSY,bedspread/blanket,609.15
LUSY,collection,943.84
LYCKA,series,857.92
LYCKHEM,dining table,596.4
LYCKHEM,occasional table,756.63
LYCKSELE HÅVET,mattress,109.21
LYCKSELE LÖVÅS,mattress,603.47
LYCKSELE MURBO,mattress,860.44
LYCKSELE,series,633.4
LYDUM,rug,299.89
LYFT,20-piece cutlery set,403.13
LYKTA,table lamp,918.95
LYSTER,candle dish,492.47
MACKIS,storage rack for writing materials,230.68
MAGASIN,chopping board,386.95
MAGASIN,cutlery caddy,681.39
MAGASIN,dish drainer,4.5
MAGASIN,rolling pin,66.07
MAGGAN,place mat,970.07
MAGGAN,table-runner,243.04
MAGNESIUM,spotlight,568.43
MAGNESIUM,spotlight system,345.96
MAJBY,chair with armrests,79.55
MAJKEN,fabric,167.99
MAJVOR,chair pad,466.51
MÅLA,series,849.52
MÄLARÖ,series,473.07
MÄLLA,box,945.84
MALM,3-piece headboard/bed shelf set,887.28
MALM,4-drawer chest,27.48
MALM,outh,403.47
MALM,series,923.94
MALMA,mirror,565.74
MALOU,duvet cover and pillowsham(s),306.47
MALTE,bar stool,499.74
MAMMUT,series,337.42
MANDAL,series,954.16
MANDEL,series,9.44
MÅNLJUS,pendant lamp,138.6
MÅNLJUS,table lamp,34.99
MÅNSTAD,corner sofa-bed w storage,513.74
MÅNSTAD,corner sofa-bed w storage,542.98
MAREN,toilet seat,972.29
MARGINAL,wall shelf with retaining edge,275.64
MARIEBERG,chair cushion,47.08
MÄRIT,place mat,691.25
MÄRIT,table-runner,149.27
MARIUS,stool,191.65
MARKLAND,floor,813.89
MARKUS,swivel chair,949.93
MARTIN,chair,947.34
MÅSNAN,toiletries bag,909.31
MATA,4-piece dinnerware set,350.93
MATILDA,pair of curtains,152.52
MATTEUS,desk,239.37
MÅTTLIG,milk-frothing jug,514.54
MAVAS,entertainment center,554.72
MEDALJ,pot with lid,144.67
MEDALJ,series,124.11
MELBU,bed frame,822.24
MELDAL,day-bed frame,72.53
MELLTORP,dining table,64.92
MELLTORP,occasional table,953.18
MELODI,pendant lamp,995.05
MERETE,pair of curtains,609.81
METALL DUTT,picture holders,953.53
METALL EPOK,frame for 2 pictures,0.19
METRIK,handle,2.78
MICKE,series,40.81
MIEN,storage box,599.19
MIL,floor lamp,797.6
MIL,work lamp,710.75
MINDE,mirror,435.58
MINNA,fabric,395.4
MINNEN,series,805.45
MIXA,3-piece kitchen utensil set,826.01
MIXTUR,oven/serving dish,127.88
MIXTUR,series,877.59
MJÄLLBY,scented candle in pot,885.2
MJÄLLBY,scented candle in pot with lid,996.94
MJÖD,series,637.56
MJÖNÄS,lantern with block candle,360.96
MJÖNÄS,tealight holder,299.79
MOLGER,mirror,401.66
MOLGER,series,897.36
MOLNIG,chandelier,175.48
MONALIS,fabric,576.48
MONGSTAD,mirror,464.16
MÖRKT,lantern for candle in a metal cup,815.02
MÖRKT,lantern for tealight,966.52
MÖRRUM,bed frame with drawers,190.92
MOSES,swivel chair,803.18
MOSJÖ TV,unit,792.68
MOTORP,series,638.51
MOTTO,bowl,374.91
MUDDUS,drop-leaf table,504.61
MULA,24 building blocks with wagon,408.93
MULA,abacus,4.11
MULA,bead roller coaster,60.34
MULA,crane with blocks,885.94
MULA,shape sorter,7.8
MULA,stack &nest cups,114.52
MULA,stacking rings,681.43
MULA,toy hammering block,5.09
MULIG,clothes bar,74.73
MULIG,clothes rack,97.22
MUSIK,wall lamp,427.43
MUSSLA,2-piece knife set,275.73
MYDAL,bunk bed frame,48.4
MYKEN,table mirror,710.63
MYSA GRÄS,comforter,433.81
MYSA LJUNG,comforter,369.41
MYSA RÖNN,comforter,423.85
MYSA RÖNN,comforter,223.17
MYSA RÖNN,comforter,276.69
MYSA RÖNN,comforter,62.49
MYSA STRÅ,comforter,917.5
MYSA STRÅ,comforter,471.18
MYSA STRÅ,comforter,918.09
MYSA STRÅ,comforter,479.84
MYSA VETE,comforter,45.24
MYSA VETE,comforter,664.23
MYSA VETE,comforter,752.55
MYSA VETE,comforter,49.3
NÄCKTEN,bathmat,723.84
NÄCKTEN,hand towel,627.77
NÄCKTEN,shower curtain,217.22
NANDOR,chair,189.33
NÄRHET,series,779.83
NÄSBY,door mat,449.84
NÄSSJÖ,candle holder,604.77
NÄSSJÖ,candlestick,879.53
NÄSTVED,rug,913.69
NÄSUM,series,415.24
NÄTT,20-piece cutlery set,96.75
NEDDA,chair pad,420.53
NEGLINGE,candlestick/tealight holder,174.42
NEKTARIN,self-watering plant pot,560.92
NIDELVA,storage tin with lid,235.7
NILS,armchair,460.66
NILS,chair,763.63
NILS,stool,211.99
NISSE,folding chair,112.54
NIVÅ,floor liner,652.36
NJUTA,bath brush,578.27
NJUTA,bathrobe,490.44
NJUTA,body puff,200.88
NJUTA,foot file,949.41
NJUTA,foot/nail brush set of 2,939.7
NJUTA,pajamas,797.13
NJUTA,slippers,703.85
NOGA,teething rail for crib,334.27
NOJS,alarm clock,907.91
NOMINELL,pair of armrests,330.38
NOMINELL,swivel chair,850.8
NON,bookcase/picture lighting,491.86
NON,countertop lighting,221.73
NON,countertop lighting,255.54
NON,spotlight with shade,751.96
NORBO,wall-mounted drop-leaf table,40.64
NORDANÖ,series,596.69
NORDDAL,bunk bed frame,760.89
NORDEN,dining table,171.76
NORDEN,series,521.86
NORDEN,sideboard,662.2
NORDMYRA,chair,722.74
NORESUND,mirror,611.62
NORESUND,nightstand,980.1
NORNA,chair pad,390.31
NORRESKOG,scented candle in glass,730.72
NORRNÄS,chair,728.79
NORRÖRA,2-piece bathroom dish set,700.45
NORRSKEN,low-voltage wire,284.35
NORRSKEN/DECENNIUM,spotlight,174.96
NORRSKEN/DYGN,spotlight,568.84
NORRSKEN/STRATOSFÄR,spotlight,351.98
NORRSTEN,collection,167.94
NORRTORP,wall shelf,465.77
NORVALD,chair,838.66
NORVALD,chair pad,313.61
NOSTALGISK,series,604.57
NOT,floor uplight,876.59
NOT,floor uplight/reading lamp,870.52
NUMERÄR,countertop,781.4
NUMERÄR,countertop,472.89
NUMERÄR,sink bowl,943.2
NUTID HDN,650 S exhaust hood,848.52
NUTID,23 S refrigerator/freezer,458.38
NUTID,23 W refrigerator/freezer,730.16
NUTID,25 S refrigerator/freezer,720.56
NUTID,forced air oven,579.61
NUTID,oven,510.11
NUTID,series,489.68
NYFORS,floor lamp,189.72
NYFORS,floor/reading lamp,785.56
NYFORS,table lamp,533.97
NYFORS,work lamp,840.01
NYPONROS,duvet cover and pillowcase(s),333.44
NYSNÖ,2-piece bar set,895.73
NYSNÖ,champagne flute,151.54
NYSNÖ,disposable cup,224.98
NYSNÖ,glass,303.26
NYSNÖ,ice bucket with tongs,452.61
NYSNÖ,mug,645.44
NYSNÖ,mug and saucer,476.66
NYSNÖ,napkin holder,998.55
NYSNÖ,paper napkin,661.2
NYSNÖ,paper plate,708.06
NYSNÖ,paper side plate,396.08
NYSNÖ,pitcher,815.44
NYSNÖ,place mat,972.69
NYSNÖ,serving bowl,281.51
NYSNÖ,serving plate,133.26
NYSNÖ,serving stand,956.58
NYSNÖ,wine/champagne cooler,44.97
NYSTED,rug,660.27
NYTER,paper napkin,694.4
NYTTIG FIL,2 charcoal filter,195.52
NYTTIG FIL,3 charcoal filter,870.72
NYTTIG FIL,4 charcoal filter,784.33
NYTTIG FIL,5 charcoal filter,515.91
NYTTIG,power supply cable w/3-prong plug,574.84
NYTTIG,power supply cable w/4-prong plug,440.08
NYTTJA,frame,461.47
NYTTJA,series,775.52
OBSERVATÖR,unknown,386.56
ODDA,nightstand,675.66
ODDA,series,920.37
ODDA,wall cabinet with sliding door,513.32
ODDVAR,stool,536.81
ÖDMJUK,series,881.7
OFELIA VASS,duvet cover and pillowcase(s),945.55
OFELIA,collection,883.03
OLLE,chair,965.08
OLUNDA,picture,169.77
OLUNDA,series,492.64
OMAR,1 shelf section,233.18
OMAR,1 shelf section/bottle racks,423.66
OMAR,2 shelf sections,220.38
OMAR,basket,235.72
OMAR,shelving unit,460.95
OMAR,system,767.89
OMAR,wine shelf,274.53
OMAR,wire basket,30.78
OMSORG,shoe tree,451.92
OMSORG,shoe tree,635.31
OMTYCKT,place mat,327.93
ÖPPEN,bowl,814.82
ÖPPEN,plate,963.58
OPTIMAL,series,147.75
ORCHIDACEAE,potted plant,169.33
ORDENTLIG,place mat,486.18
ORDNING,colander,138.33
ORDNING,cutlery caddy,31.02
ORDNING,dish drainer,455.45
ORDNING,kitchen utensil rack,687.14
ORDNING,scale,88.92
ORDNING,timer,305.56
ORE,shower curtain rod,486.38
ÖRESUND,toilet seat,141.27
ORGEL VRETEN,floor lamp,74.19
ORGEL,series,89.29
ORRLÖT,4-piece bathroom set,310.99
ÖSTERBYMO,frame,566.1
ÖSTERBYMO,frame for 2 pictures,311.75
OTTAVA,pendant lamp,577.26
OVANLIG,vase,475.61
OXEL,box spring cover,983.14
OXSKÄR,single lever kitchen faucet,434.94
PÅLITLIG,vase,386
PAPAJA,plant pot,667.44
PAPAVER OVAL,duvet cover and pillowcase(s),799.68
PAPAVER VÅG,duvet cover and pillowcase(s),741.29
PAPAVER,duvet cover and pillowcase(s),883.98
PARAGRAF,caster for hard floors,979.02
PATRIK,swivel chair,374.45
PATRIK,visitor chair,497.85
PATRULL,3 pair of anti-slip socks,309.67
PATRULL FAST,safety gate,546.72
PATRULL SMIDIG,safety gate,27.21
PATRULL SMIDIG,safety gate extension,399.51
PATRULL,bathtub mat,865.8
PATRULL,corner bumper,712.1
PATRULL,drawer/cabinet catch,455.4
PATRULL,multilock,686.4
PATRULL,safety chain,78.06
PATRULL,tub mat,146.11
PAX,system,145.25
PELLO,chair,132.63
PEPPARKAKOR ANNAS,ginger thins in box,947.33
PEPPARKAKOR ANNAS,ginger thins with almonds,909.16
PEPPARKAKOR ANNAS,ginger thins with cappuccino flavor,348.73
PEPPARKAKOR ANNAS,ginger thins with orange-flavor,120.22
PEPPARKAKOR ANNAS,wholemeal ginger thins,765.12
PERISKOP,hook,233.86
PERISKOP,towel rail,433.64
PERSIKA,vase,366.91
PERSISK GABBEH,rug,387.15
PERSISK HAMADAN,rug,684.32
PERSISK KELIM GASHGAI,rug,47.52
PERSISK KELIM,rug,697.71
PERSISK,rug,244.12
PHALAENOPSIS,potted plant,584.29
PILATORP,basket,578.83
PIRO,wall clock,498.66
PJÄS,basket,321.57
PJÄS,basket with base,721.44
PJÄS,decorative vase,592.53
PJÄS,dish,699.81
PJÄTTERYD,picture,274.95
PJÄTTERYD,series,36.95
PLAN,molding,542.51
PLAN,multi-function profile,965.39
PLAN,quarter round,174.33
PLAN,wall clip for skirting board,559.59
PLASTIS,dishwashing brush,216.17
PLASTIS,ice cube tray,173.91
PLASTIS,rubber gloves,553.43
PLATTA,decking,125.73
PLIKTIG,paper napkin,846.02
PLUGGIS,magazine file,421.68
PLUGGIS,wastepaper basket,191.31
POÄNG,chair,808.9
POÄNG,children's armchair,876.66
POÄNG,footstool,871.55
POÄNG,series,796.52
POKAL,series,694.89
POKAL,tumbler,202.71
POLARVIDE,throw,976.28
POMP,lantern for block candle,334.22
PORTIS,series,907.18
POTATISMOS,mashed potatoes,319.66
